later_idx,prev_idx_candidate_1,prev_idx_candidate_2,score_1,score_2,later_row
0,10,9,11.019910074204946,11.296569925795055,"{'joint_number': 5, 'WT [in]': 0.344, 'dist_to_us_weld': nan, 'dist_to_ds_weld': nan, 'distance_along_line': -1.565, 'feature_type': 'Tap', 'ID/OD': nan, 'depth_percent': nan, 'Metal Loss Depth \n[in]': nan, 'Metal Loss Depth + Tolerance\n[%]': nan, 'Dimension Classification': nan, 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': nan, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': nan, 'Comments': '1.5 IN OFFTAKE-WELDOLET', 'Anomalies per Joint': 0, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': nan, 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': nan, 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': nan, 'Seam Position\n[hh:mm]': 'UNKN', 'Distance To Seam Weld \n[in]': nan, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': nan, 'Mod B31G Pburst [PSI]': nan, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': nan, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': nan, 'Effective Area Psafe [PSI]': nan, 'Effective Area Pburst [PSI]': nan, 'ERF': nan, 'RPR': nan, 'Length Tolerance [in]': nan, 'Width Tolerance [in]': nan, 'run_year': 2022, 'row_index': 1, 'distance_raw_m': -0.477012, 'dist_to_us_weld_m': nan, 'clock_position_deg': 270.0, 'length_mm': 1380.1344, 'width_mm': nan, 'distance_corrected_m': 9.382913925795055}"
2,11,9,12.827912590106006,13.213223409893994,"{'joint_number': 5, 'WT [in]': 0.344, 'dist_to_us_weld': nan, 'dist_to_ds_weld': nan, 'distance_along_line': 1.243, 'feature_type': 'Tap', 'ID/OD': nan, 'depth_percent': nan, 'Metal Loss Depth \n[in]': nan, 'Metal Loss Depth + Tolerance\n[%]': nan, 'Dimension Classification': nan, 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': nan, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': nan, 'Comments': '1.5 IN OFFTAKE-WELDOLET', 'Anomalies per Joint': 0, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': nan, 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': nan, 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 233.45, 'Seam Position\n[hh:mm]': 'UNKN', 'Distance To Seam Weld \n[in]': nan, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': nan, 'Mod B31G Pburst [PSI]': nan, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': nan, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': nan, 'Effective Area Psafe [PSI]': nan, 'Effective Area Pburst [PSI]': nan, 'ERF': nan, 'RPR': nan, 'Length Tolerance [in]': nan, 'Width Tolerance [in]': nan, 'run_year': 2022, 'row_index': 3, 'distance_raw_m': 0.37886640000000005, 'dist_to_us_weld_m': nan, 'clock_position_deg': 270.0, 'length_mm': 1380.1344, 'width_mm': nan, 'distance_corrected_m': 11.299567409893994}"
489,35,38,1272.9183522071623,1273.2810642071618,"{'joint_number': 2340, 'WT [in]': 0.344, 'dist_to_us_weld': nan, 'dist_to_ds_weld': nan, 'distance_along_line': 8318.481, 'feature_type': 'Field Bend', 'ID/OD': nan, 'depth_percent': nan, 'Metal Loss Depth \n[in]': nan, 'Metal Loss Depth + Tolerance\n[%]': nan, 'Dimension Classification': nan, 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': nan, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': nan, 'Comments': 'BEND-COLD OVER', 'Anomalies per Joint': 0, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': nan, 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': nan, 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 187.708, 'Seam Position\n[hh:mm]': '08:44', 'Distance To Seam Weld \n[in]': nan, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': nan, 'Mod B31G Pburst [PSI]': nan, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': nan, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': nan, 'Effective Area Psafe [PSI]': nan, 'Effective Area Pburst [PSI]': nan, 'ERF': nan, 'RPR': nan, 'Length Tolerance [in]': nan, 'Width Tolerance [in]': nan, 'run_year': 2022, 'row_index': 728, 'distance_raw_m': 2535.4730088, 'dist_to_us_weld_m': nan, 'clock_position_deg': nan, 'length_mm': 12206.9352, 'width_mm': nan, 'distance_corrected_m': 2928.542656207162}"
493,47,45,33.856128729548345,34.30113672954894,"{'joint_number': 2430, 'WT [in]': 0.344, 'dist_to_us_weld': 39.37, 'dist_to_ds_weld': 0.896, 'distance_along_line': 8678.363, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 23.0, 'Metal Loss Depth \n[in]': 0.079, 'Metal Loss Depth + Tolerance\n[%]': 38.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 1.7, 'Comments': 'EXT ML', 'Anomalies per Joint': 3, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 119.023, 'Seam Position\n[hh:mm]': '10:04', 'Distance To Seam Weld \n[in]': 19.059, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1514.1, 'Mod B31G Pburst [PSI]': 2102.9, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1481.8, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 2058.0, 'Effective Area Psafe [PSI]': 1506.5, 'Effective Area Pburst [PSI]': 2092.4, 'ERF': 0.677, 'RPR': 1.128, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 741, 'distance_raw_m': 2645.1650424, 'dist_to_us_weld_m': 11.999976, 'clock_position_deg': 210.5, 'length_mm': 12273.0768, 'width_mm': 53.339999999999996, 'distance_corrected_m': 3023.3990247295487}"
494,47,45,33.857949081806055,34.30295708180665,"{'joint_number': 2430, 'WT [in]': 0.344, 'dist_to_us_weld': 39.377, 'dist_to_ds_weld': 0.889, 'distance_along_line': 8678.369, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 16.0, 'Metal Loss Depth \n[in]': 0.055, 'Metal Loss Depth + Tolerance\n[%]': 31.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 2.3, 'Comments': 'EXT ML', 'Anomalies per Joint': 3, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 119.022, 'Seam Position\n[hh:mm]': '10:04', 'Distance To Seam Weld \n[in]': 32.882, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1511.0, 'Mod B31G Pburst [PSI]': 2098.6, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1465.5, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 2035.3, 'Effective Area Psafe [PSI]': 1503.4, 'Effective Area Pburst [PSI]': 2088.1, 'ERF': 0.678, 'RPR': 1.126, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 742, 'distance_raw_m': 2645.1668712000005, 'dist_to_us_weld_m': 12.0021096, 'clock_position_deg': 144.5, 'length_mm': 12273.0768, 'width_mm': 48.26, 'distance_corrected_m': 3023.4008450818064}"
495,47,45,34.35518351115252,34.800191511153116,"{'joint_number': 2440, 'WT [in]': 0.344, 'dist_to_us_weld': 0.722, 'dist_to_ds_weld': 38.015, 'distance_along_line': 8679.98, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 17.0, 'Metal Loss Depth \n[in]': 0.058, 'Metal Loss Depth + Tolerance\n[%]': 32.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 2.5, 'Comments': 'EXT ML', 'Anomalies per Joint': 2, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 118.84, 'Seam Position\n[hh:mm]': '03:48', 'Distance To Seam Weld \n[in]': 2.094, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1502.6, 'Mod B31G Pburst [PSI]': 2087.0, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1453.5, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 2018.8, 'Effective Area Psafe [PSI]': 1493.3, 'Effective Area Pburst [PSI]': 2074.0, 'ERF': 0.682, 'RPR': 1.121, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 744, 'distance_raw_m': 2645.657904, 'dist_to_us_weld_m': 0.2200656, 'clock_position_deg': 123.5, 'length_mm': 11807.037600000001, 'width_mm': 50.8, 'distance_corrected_m': 3023.898079511153}"
496,47,45,34.38323091821576,34.82823891821636,"{'joint_number': 2440, 'WT [in]': 0.344, 'dist_to_us_weld': 0.814, 'dist_to_ds_weld': 37.927, 'distance_along_line': 8680.069, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 26.0, 'Metal Loss Depth \n[in]': 0.089, 'Metal Loss Depth + Tolerance\n[%]': 41.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 4.5, 'Comments': 'EXT ML', 'Anomalies per Joint': 2, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 118.83, 'Seam Position\n[hh:mm]': '03:48', 'Distance To Seam Weld \n[in]': 19.897, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1403.5, 'Mod B31G Pburst [PSI]': 1949.3, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1292.9, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 1795.6, 'Effective Area Psafe [PSI]': 1439.5, 'Effective Area Pburst [PSI]': 1999.4, 'ERF': 0.73, 'RPR': 1.045, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 745, 'distance_raw_m': 2645.6850312, 'dist_to_us_weld_m': 0.2481072, 'clock_position_deg': 197.0, 'length_mm': 11807.037600000001, 'width_mm': 170.18, 'distance_corrected_m': 3023.926126918216}"
497,47,45,58.22617623801352,58.67118423801412,"{'joint_number': 2450, 'WT [in]': 0.344, 'dist_to_us_weld': 39.219, 'dist_to_ds_weld': 1.014, 'distance_along_line': 8757.215, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 18.0, 'Metal Loss Depth \n[in]': 0.062, 'Metal Loss Depth + Tolerance\n[%]': 33.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 4.8, 'Comments': 'EXT ML', 'Anomalies per Joint': 2, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 113.805, 'Seam Position\n[hh:mm]': '02:36', 'Distance To Seam Weld \n[in]': 16.546, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1444.8, 'Mod B31G Pburst [PSI]': 2006.6, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1343.1, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 1865.4, 'Effective Area Psafe [PSI]': 1424.3, 'Effective Area Pburst [PSI]': 1978.2, 'ERF': 0.71, 'RPR': 1.078, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 747, 'distance_raw_m': 2669.199132, 'dist_to_us_weld_m': 11.9539512, 'clock_position_deg': 156.5, 'length_mm': 12263.0184, 'width_mm': 93.98, 'distance_corrected_m': 3047.769072238014}"
498,47,45,58.244064232048004,58.6890722320486,"{'joint_number': 2450, 'WT [in]': 0.344, 'dist_to_us_weld': 39.278, 'dist_to_ds_weld': 0.955, 'distance_along_line': 8757.274, 'feature_type': 'Metal Loss', 'ID/OD': 'External', 'depth_percent': 22.0, 'Metal Loss Depth \n[in]': 0.076, 'Metal Loss Depth + Tolerance\n[%]': 37.0, 'Dimension Classification': 'GENE', 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': 20.0, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': 4.2, 'Comments': 'EXT ML', 'Anomalies per Joint': 2, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': 'N', 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': 'N', 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 113.802, 'Seam Position\n[hh:mm]': '02:36', 'Distance To Seam Weld \n[in]': 27.646, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': 1436.0, 'Mod B31G Pburst [PSI]': 1994.5, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': 1338.1, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': 1858.5, 'Effective Area Psafe [PSI]': 1414.1, 'Effective Area Pburst [PSI]': 1964.0, 'ERF': 0.714, 'RPR': 1.07, 'Length Tolerance [in]': 1.0, 'Width Tolerance [in]': 1.2, 'run_year': 2022, 'row_index': 748, 'distance_raw_m': 2669.2171152, 'dist_to_us_weld_m': 11.9719344, 'clock_position_deg': 211.5, 'length_mm': 12263.0184, 'width_mm': 66.03999999999999, 'distance_corrected_m': 3047.7869602320484}"
610,92,93,1232.9035507857986,1233.3678627857987,"{'joint_number': 3170, 'WT [in]': 0.344, 'dist_to_us_weld': nan, 'dist_to_ds_weld': nan, 'distance_along_line': 11432.228, 'feature_type': 'Field Bend', 'ID/OD': nan, 'depth_percent': nan, 'Metal Loss Depth \n[in]': nan, 'Metal Loss Depth + Tolerance\n[%]': nan, 'Dimension Classification': nan, 'Metal Loss Depth Tolerance [%] \n(includes seamless and HAZ and modified specs)': nan, 'Dent Depth\n [%]': nan, 'Dent Depth\n [in]': nan, 'Is any part of the dent affecting the top of the pipe? \n[Y/N]': nan, 'Length [in]': nan, 'Comments': 'BEND-COLD OVER', 'Anomalies per Joint': 0, 'Was anomaly sizing reviewed by analyst? \n[Y/N]': nan, 'Was anomaly sizing/dimensions manually changed? \n[Y/N]': nan, 'Magnetization Level \n[kA/m] for MFL survey \nor \nActual WT [in] for UT Survey': 5.97, 'Elevation [ft]': 205.72, 'Seam Position\n[hh:mm]': '10:20', 'Distance To Seam Weld \n[in]': nan, 'Tool': 'CMFL', 'Evaluation Pressure [PSI]': 1025, 'SMYS [PSI]': 65000, 'Pipe Type': 'E.R. WELD', 'Pipe Diameter (O.D.) \n[in.]': 24, 'Pdesign [PSI]': 1341.6, 'Mod B31G Psafe \n[PSI]': nan, 'Mod B31G Pburst [PSI]': nan, 'Mod B31G Psafe Pressure with Tolerance\n[PSI]': nan, 'Mod B31G Pburst Pressure with Tolerance\n[PSI]': nan, 'Effective Area Psafe [PSI]': nan, 'Effective Area Pburst [PSI]': nan, 'ERF': nan, 'RPR': nan, 'Length Tolerance [in]': nan, 'Width Tolerance [in]': nan, 'run_year': 2022, 'row_index': 932, 'distance_raw_m': 3484.5430944, 'dist_to_us_weld_m': nan, 'clock_position_deg': nan, 'length_mm': 12216.079200000002, 'width_mm': nan, 'distance_corrected_m': 4156.067657214202}"
