joint_number,J. len [ft],Wt [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,Depth [in],OD Reduction [%],OD Reduction [in],Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
,,,,,-14.6,Area Start Launcher,,,,,,,,,233.7,,,,,,,,,,,,,,,,2015,0,-4.45008,,,,,-4.45008
,,,,,-1.39,Tap,,,,,,,,,233.5,,,,,,,,,,,,,,,,2015,1,-0.423672,,270.0,,,-0.423672
,,,,,0.0,Valve,,,,,,,,,233.47,,,,,,,,,,,,,,,,2015,2,0.0,,,,,0.0
,,,,,1.4,Tap,,,,,,,,,233.45,,,,,,,,,,,,,,,,2015,3,0.42672,,270.0,,,0.42672
,,,,,8.16,Tee,,,,,,,,,233.29,,,,,,,,,,,,,,,,2015,4,2.487168,,270.0,,,2.487168
,,,,,11.12,Tap,,,,,,,,,233.22,,,,,,,,,,,,,,,,2015,5,3.389376,,0.0,,,3.389376
,,,,,15.13,Bend,,,,,,6.2D -  31° - Over,,,232.5,,,,,,,,,,,,,,,,2015,6,4.611624000000001,,,,,4.611624000000001
,,,,,19.09,Magnet,,,,,,ROSEN,,,230.46,,,,,,,,,,,,,,,,2015,7,5.818632,,0.0,,,5.818632
980.0,,,,,3036.06,AGM,,,,,,AGM#1 AT PLM/ ON ROW,,,750.84,,,,,,,,,,,,,,,,2015,125,925.3910880000001,,,,,925.3910880000001
990.0,,,,,3075.49,Tap,,,,,,,,,748.83,,,,,,,,,,,,,,,,2015,127,937.409352,,0.0,,,937.409352
2640.0,,0.344,-28.19,12.46,9452.13,metal loss,External,16.0,0.055,,,,,0.7,15.59,,MFL-A/XT,,1160.0,65000.0,,1342.0,1448.26,2010.88,,,,,,,2015,299,2881.009224,-8.592312000000002,283.0,53.08599999999999,48.00599999999999,2881.009224
2640.0,,0.344,-28.91,11.74,9452.84,metal loss,External,13.0,0.045,,,,,0.7,15.77,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.63,2039.16,,,,,,,2015,300,2881.225632,-8.811768,49.0,27.94,40.132,2881.225632
2640.0,,0.344,-29.11,11.54,9453.04,metal loss,External,13.0,0.045,,,,,0.7,15.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.59,2034.94,,,,,,,2015,301,2881.2865920000004,-8.872728,89.0,34.036,43.942,2881.2865920000004
2640.0,,0.344,-34.26,6.39,9458.19,metal loss,External,17.0,0.058,,,,,0.7,16.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,1463.94,2032.64,,,,,,,2015,302,2882.8563120000003,-10.442448,243.5,30.987999999999996,45.974,2882.8563120000003
2640.0,,0.344,-34.84,5.8,9458.78,metal loss,External,30.0,0.103,,,,,0.7,17.07,,MFL-A/XT,,1160.0,65000.0,,1342.0,1469.21,2039.96,1540.59,2139.08,1541.47,2140.29,0.75,1.84,2015,303,2883.036144,-10.619232000000002,242.5,16.002,34.036,2883.036144
2640.0,,0.344,-35.57,5.08,9459.51,metal loss,External,23.0,0.079,,,,,0.7,17.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.35,2034.6,1536.39,2133.24,1537.3,2134.51,0.76,1.84,2015,304,2883.258648,-10.841736000000001,237.0,23.875999999999998,42.925999999999995,2883.258648
