joint_number,WT [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,"Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
5,0.344,,,-1.565,Tap,,,,,,,,,,,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1,-0.477012,,270.0,1380.1344,,9.382913925795055
5,0.344,,,1.243,Tap,,,,,,,,,,,1.5 IN OFFTAKE-WELDOLET,0,,,5.97,233.45,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,3,0.37886640000000005,,270.0,1380.1344,,11.299567409893994
75,0.344,13.366,3.619,125.902,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.4,EXT ML,4,N,N,5.97,213.96,07:36,11.938,CMFL,1025,65000,E.R. WELD,24,1341.6,1480.5,2056.2,1407.2,1954.5,1468.3,2039.3,0.692,1.104,1.0,1.2,2022,23,38.3749296,4.0739568,171.0,5177.028,45.72,81.1378378823668
75,0.344,13.842,3.143,126.378,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,7.0,EXT ML,4,N,N,5.97,213.782,07:36,9.215,CMFL,1025,65000,E.R. WELD,24,1341.6,1317.3,1829.6,1174.4,1631.1,1380.6,1917.5,0.778,0.983,1.0,1.2,2022,24,38.5200144,4.219041600000001,271.5,5177.028,154.93999999999997,81.25007893458935
75,0.344,16.05,0.938,128.583,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,EXT ML,4,N,N,5.97,212.96,07:36,18.431,CMFL,1025,65000,E.R. WELD,24,1341.6,1495.2,2076.7,1442.6,2003.6,1483.9,2061.0,0.686,1.114,1.0,1.2,2022,25,39.1920984,4.892040000000001,139.5,5177.028,66.03999999999999,81.77001910297321
75,0.344,16.306,0.682,128.839,Metal Loss,External,30.0,0.103,45.0,GENE,20.0,,,,3.0,EXT ML,4,N,N,5.97,212.865,07:36,8.796,CMFL,1025,65000,E.R. WELD,24,1341.6,1434.8,1992.7,1353.7,1880.1,1430.7,1987.1,0.714,1.069,1.0,1.2,2022,26,39.270127200000005,4.970068800000001,179.5,5177.028,101.6,81.83038403862233
80,0.344,14.127,1.161,143.648,Metal Loss,External,25.0,0.086,40.0,CIGR,25.0,,,,0.7,EXT ML,4,N,N,5.97,207.094,08:56,25.552,CMFL,1025,65000,E.R. WELD,24,1341.6,1540.5,2139.5,1533.3,2129.6,1538.7,2137.1,0.665,1.148,1.0,1.2,2022,29,43.7839104,4.305909600000001,30.0,4660.087200000001,55.88,93.39458018863236
80,0.344,14.134,1.155,143.655,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.1,EXT ML ( NEAR SW ),4,N,N,5.97,207.091,08:56,2.304,CMFL,1025,65000,E.R. WELD,24,1341.6,1506.9,2092.9,1443.2,2004.4,1498.9,2081.8,0.68,1.123,1.0,1.2,2022,30,43.786044000000004,4.3080432,256.5,4660.087200000001,78.74,93.40023062123096
80,0.344,14.154,1.135,143.675,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,2.4,EXT ML,4,N,N,5.97,207.083,08:56,27.855,CMFL,1025,65000,E.R. WELD,24,1341.6,1492.8,2073.3,1442.6,2003.6,1480.9,2056.8,0.687,1.114,1.0,1.2,2022,31,43.79214,4.3141392000000005,135.0,4660.087200000001,53.339999999999996,93.41637471436982
90,0.344,1.48,30.148,146.289,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,4.1,EXT ML,3,N,N,5.97,206.052,01:12,27.227,CMFL,1025,65000,E.R. WELD,24,1341.6,1433.9,1991.5,1334.8,1853.8,1430.7,1987.1,0.715,1.067,1.0,1.2,2022,33,44.588887199999995,0.451104,254.5,9639.909599999999,154.93999999999997,94.9049773287381
